date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:09	30/30	---M--	200	added ('OK')	text/plain	date:Thu,%2013%20Aug%202015%2000:37:58%20GMT	https://goitmc.com/robots.txt		(from )
23:28:10	38156/38156	---MC-	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202016%2003:28:08%20GMT	https://goitmc.com/	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/index.html	(from )
23:28:11	99961/99961	---MCZ	200	added ('OK')	text/css	etag:W/%228a7442ca6bedd62cec4881040b9a9e83%22	http://netdna.bootstrapcdn.com/bootstrap/3.1.1/css/bootstrap.min.css	C:/xampp/htdocs/plantillas/plantilla/netdna.bootstrapcdn.com/bootstrap/3.1.1/css/bootstrap.min.css	(from https://goitmc.com/)
23:28:11	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:28:11%20GMT	http://d3hdz4r8kacav0.cloudfront.net/eventum/css/public.css	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/eventum/css/public.1.delayed	(from https://goitmc.com/)
23:28:12	2195/2195	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Nov%202015%2015:34:54%20GMT	https://d3hdz4r8kacav0.cloudfront.net/eventum/css/public.css	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/eventum/css/public.css	(from https://goitmc.com/)
23:28:12	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:28:12%20GMT	http://d3hdz4r8kacav0.cloudfront.net/css/itmc.css	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/css/itmc.3.delayed	(from https://goitmc.com/)
23:28:13	21476/21476	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Nov%202015%2003:00:30%20GMT	https://d3hdz4r8kacav0.cloudfront.net/css/itmc.css	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/css/itmc.css	(from https://goitmc.com/)
23:28:13	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:28:13%20GMT	http://d3hdz4r8kacav0.cloudfront.net/css/gear.css	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/css/gear.css	(from https://goitmc.com/)
23:28:13	4246/4246	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202015%2018:15:38%20GMT	https://d3hdz4r8kacav0.cloudfront.net/css/gear.css	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/css/gear.css	(from https://goitmc.com/)
23:28:14	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:28:14%20GMT	http://d3hdz4r8kacav0.cloudfront.net/images/itmc-logo.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/images/itmc-logo.8.delayed	(from https://goitmc.com/)
23:28:14	27580/27580	---MC-	200	added ('OK')	text/javascript	date:Wed,%2001%20Jun%202016%2014:34:39%20GMT	http://www.google-analytics.com/analytics.js	C:/xampp/htdocs/plantillas/plantilla/www.google-analytics.com/analytics.js	(from https://goitmc.com/)
23:28:14	3419/3419	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202015%2002:25:51%20GMT	https://d3hdz4r8kacav0.cloudfront.net/images/itmc-logo.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/images/itmc-logo.png	(from https://goitmc.com/)
23:28:15	19837/19837	---MC-	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202016%2003:28:14%20GMT	https://goitmc.com/managed-it	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/managed-it.html	(from https://goitmc.com/)
23:28:16	19834/19834	---MC-	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202016%2003:28:15%20GMT	https://goitmc.com/hosting	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/hosting.html	(from https://goitmc.com/)
23:28:16	19837/19837	---MC-	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202016%2003:28:15%20GMT	https://goitmc.com/consulting	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/consulting.html	(from https://goitmc.com/)
23:28:16	19835/19835	---MC-	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202016%2003:28:15%20GMT	https://goitmc.com/mobility	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/mobility.html	(from https://goitmc.com/)
23:28:18	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:28:17%20GMT	http://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/18182a752e3b9c9aca1e7856411beed8.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/18182a752e3b9c9aca1e7856411beed8.png	(from https://goitmc.com/)
23:28:18	38381/38381	---MC-	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202016%2003:28:16%20GMT	https://goitmc.com/training/apple/os-x-support-essentials	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/training/apple/os-x-support-essentials.html	(from https://goitmc.com/)
23:28:19	13074/13074	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202015%2001:13:44%20GMT	https://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/18182a752e3b9c9aca1e7856411beed8.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/18182a752e3b9c9aca1e7856411beed8.png	(from https://goitmc.com/)
23:28:20	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:28:19%20GMT	http://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/472c8ff9f9751227a9367e1202bc02b6.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/472c8ff9f9751227a9367e1202bc02b6.12.delayed	(from https://goitmc.com/)
23:28:20	36944/36944	---MC-	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202016%2003:28:18%20GMT	https://goitmc.com/training/apple/os-x-server-essentials	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/training/apple/os-x-server-essentials.html	(from https://goitmc.com/)
23:28:20	108474/108474	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202015%2001:17:39%20GMT	https://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/472c8ff9f9751227a9367e1202bc02b6.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/472c8ff9f9751227a9367e1202bc02b6.png	(from https://goitmc.com/)
23:28:21	22242/22242	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Jul%202016%2003:28:19%20GMT	https://goitmc.com/training/apple/mac-integration-basics	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/training/apple/mac-integration-basics	(from https://goitmc.com/)
23:28:22	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:28:21%20GMT	http://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/c53f73d6e22a39a24bd53a18587c29a9.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/c53f73d6e22a39a24bd53a18587c29a9.png	(from https://goitmc.com/)
23:28:22	35937/35937	---MC-	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202016%2003:28:20%20GMT	https://goitmc.com/training/apple/logic-pro	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/training/apple/logic-pro.html	(from https://goitmc.com/)
23:28:24	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:28:23%20GMT	http://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/900f8cff9e2df47567a640e15f7cf72d.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/900f8cff9e2df47567a640e15f7cf72d.png	(from https://goitmc.com/)
23:28:24	126277/126277	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202015%2001:18:31%20GMT	https://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/c53f73d6e22a39a24bd53a18587c29a9.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/c53f73d6e22a39a24bd53a18587c29a9.png	(from https://goitmc.com/)
23:28:24	35133/35133	---MC-	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202016%2003:28:22%20GMT	https://goitmc.com/training/apple/final-cut-pro-x	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/training/apple/final-cut-pro-x.html	(from https://goitmc.com/)
23:28:24	49476/49476	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Aug%202015%2001:19:13%20GMT	https://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/900f8cff9e2df47567a640e15f7cf72d.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/900f8cff9e2df47567a640e15f7cf72d.png	(from https://goitmc.com/)
23:28:26	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jul%202016%2003:28:25%20GMT	http://d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/869c2d6f242d741817ff4faa7c092811.png	C:/xampp/htdocs/plantillas/plantilla/d3hdz4r8kacav0.cloudfront.net/uploads/2015/08/869c2d6f242d741817ff4faa7c092811.1c.delayed	(from https://goitmc.com/)
23:28:26	36454/36454	---MC-	200	added ('OK')	text/html	date:Fri,%2022%20Jul%202016%2003:28:23%20GMT	https://goitmc.com/training/apple/technician-training	C:/xampp/htdocs/plantillas/plantilla/goitmc.com/training/apple/technician-training.html	(from https://goitmc.com/)
